,0,1,2,3,4,5,6,7,8
163,SQOR,FAM192A,UFSP1,TTC39C,DPYSL4,CTDNEP1,KDM4A-AS1,EXOC5,NCR3LG1
164,FRY,SUMF1,CA13,NA,SPATS2,MRPL10,FDX2,AP3S2,ZFY
165,DBI,SHC1,MT-ND1,NA,RPL26,NA,EIF4A3,PRKCQ,NA
166,TMEM50A,IVD,ZNF880,NA,LARP1,NA,TIPIN,AC002116.2,NA
167,LIF,TM2D3,SRSF3,NA,RPGRIP1L,NA,MREG,DHX16,NA
168,SPCS3,CXorf21,OAZ3,NA,NMT1,METTL16,SNRNP70,BAD,F2R
169,C1orf162,APOL6,ABLIM1,NA,PSMC3IP,TRMT1L,DNAJC25,LINC00910,WDR74
170,RTN4,C20orf194,METRN,NA,IDI2-AS1,NA,NA,HTT,NA
171,IRF1,ERCC2,ERGIC2,NA,ZNHIT2,NA,RSL24D1,MAN1B1,NA
172,LTA,CLPX,ZNF692,NKTR,KXD1,UTP25,TNPO2,NDUFC2,MRPS12
173,GNA15,UBE3C,PDSS1,NA,SNHG26,PRMT1,NDUFA12,BRK1,LITAF
174,PSMB9,PICALM,EGR3,NA,MRM1,NA,PRDX2,ASF1B,NA
175,ILK,NFE2L3,GTPBP4,NA,HOOK1,NA,RNASEH1-AS1,GPN3,NA
176,SNX6,FOXJ3,MFN2,NA,ISM1,PSIP1,PUM3,TIFA,CMC1
177,XAF1,RBM39,MRPS18A,NA,PBX2,METTL8,METTL2B,ABCB1,AC008105.3
178,TUBA1A,TAF5,DCTN5,NA,MRRF,NA,HSP90AB1,MPP1,NA
179,LINC00892,CD53,CD2,NA,SNRPB,NA,NA,HDGFL3,NA
180,MGST3,GPAM,MRPL57,NA,UNKL,NA,AIMP1,AC002378.1,NA
181,ARL4C,FRMD8,SLC39A14,NA,COPG2,NA,N4BP3,TCF19,TLE4
182,MVP,THUMPD1,DPH5,NA,BCL2L1,GRHPR,METRN,TGFB1,ID2
183,GNAI2,NSD1,RBM15,NA,MBD3,NA,SNU13,TRA2B,NA
184,PSMB10,HERC4,UBE2M,NA,HAUS8,NA,NA,TUBA1C,NA
185,CSF1,PCNP,NRP2,RECQL,MIEF1,OTUD7A,ARF6,GSTP1,TMEM88
186,VAMP5,CEP55,EIF3A,NA,RAD54B,TIMM10,ZFAND5,TOR2A,ODC1
187,TLE5,MPHOSPH9,E2F6,NA,NEURL1,NA,TAGLN2,CCND2,NA
188,SH3BP5,ING4,GPR171,NA,L3MBTL2,NA,COPS3,ATF6B,NA
189,MYO1F,METTL6,ZNF574,NA,UBL4A,NA,NA,UMPS,NA
190,SELPLG,ELOB,CCT6B,NA,NLE1,NA,NA,SMC2,NA
191,ARRB2,KIN,SLC24A1,NA,PRKDC,NA,SLC12A9-AS1,ADAM9,NA
192,PYCARD,SLC4A2,CWC15,NA,NACA,NA,SRPRB,PDIA6,NA
193,IL15,AGPAT3,ARHGEF19,NA,GTF2H5,NA,LUC7L3,ZBTB16,NA
194,SERPINB1,SPTSSA,AC016876.1,NA,NOS3,TRMT2B,PAGE5,DCLRE1B,MRPL22
195,PLEKHO1,SMG7,ZNF232,NA,RTN4RL2,NA,NA,HMGB2,NA
196,IFIT3,LMNB1,SDCBP,NA,POP1,NA,NA,GINS4,NA
197,PARP9,TMEM218,NMB,NA,POLR3B,NA,MANF,ZNF107,HMOX2
198,PLAUR,TMEM184C,ALG9,NA,TMEM161A,NA,TNF,NUP58,ERLIN2
199,HIF1A,GALT,ALYREF,NA,PLAGL2,NA,ANKRD16,HIST1H2AJ,NA
200,AUTS2,IGF2R,RPS24,NA,TOMM40,NA,PHPT1,PTPRE,NA
201,ARPC2,HEBP1,ATP5PF,NA,PPIG,NA,TNIP2,OBI1,LINC00892
202,LST1,AP5Z1,DDX52,NA,AC022211.2,NA,DLGAP3,TBC1D31,NA
203,RGS19,TUBGCP5,ANKRD54,NA,GATC,NA,MFSD2A,AL031963.3,FAM160B2
204,PPP1R18,SEC14L1,OGFRP1,NA,ME3,NA,NA,TNFSF12,NA
205,ANKRD12,TSHR,NINJ1,NA,DNAJA1,NA,SFXN4,HPF1,NA
206,LPAR6,EMB,PUS1,NA,RTRAF,NA,NA,AL359711.2,NA
207,ATP5F1E,DDIT3,EIF4G2,NA,AC008957.1,NA,MAX,INPP5D,NA
208,SNX10,USP22,UTP3,NA,TMEM268,NA,CDK2AP1,TMC6,RGS3
209,CLEC2B,MCCC2,NCMAP,NA,MRPL19,NA,POLR2F,DUT,NA
210,SOCS1,IL6R,CCND1,NA,FAU,NA,NA,HDLBP,NA
211,NPC2,CSNK2A2,CDC6,HELB,UBAC1,CHCHD6,SLC19A1,AC008429.3,CKAP5
212,CASP1,ELP4,COA1,NA,PTK2,NA,DUSP4,DIAPH3,NA
213,ITGA4,AKAP13,RPL26,NA,MFNG,NA,C1orf174,EMB,NA
214,CALR,CASP1,FEN1,NA,NARS2,APEX1,KIF2A,HELZ,PTGIS
215,RNF125,CHMP5,NR4A3,NA,NDFIP2,NA,SLC9B2,RPS6KA5,NA
216,TRAM1,COQ5,LARGE2,NA,ZNF7,NA,LDHB,USP5,NA
217,DDIT4,LRPAP1,ZBTB9,NA,CHPF,NA,BCL2A1,UBR7,NA
218,ETHE1,STARD3NL,GTF2A2,NA,C1orf35,NA,NA,SH3BP1,NA
219,EHD4,MTMR14,MPZL3,NA,LRFN1,EHD1,SLBP,PTGER2,SERF2
220,PHTF2,TJAP1,FAM174C,NA,SMIM12,NA,NDUFA6,C1GALT1C1,NA
221,GBP1,RCHY1,FAAP100,NA,WDPCP,ZNF248,TOMM5,TBC1D10B,H3F3A
222,IER2,ABCD3,PXN-AS1,NA,DCAF4,NA,IL21R,AC103591.3,NFIL3
223,CDC14A,QRSL1,PEX12,NA,AURKAIP1,NA,TPD52L2,STK26,NA
224,CARD19,DEF6,QDPR,NA,LZIC,NA,EXOSC2,MYO5A,GPR27
225,PRNP,GSTZ1,SLC35B4,NA,RWDD4,NA,PCNX4,AC016821.1,NA
226,KLRB1,ITGAE,RPL10A,NA,UBE2S,NA,EIF4H,CCDC18,NA
227,DOCK8,GCC2,EVI5,NA,AC099522.2,CHCHD5,OTULIN,CTNNAL1,UTS2
228,CAPZB,CNOT11,SSBP1,NA,BCL7A,NA,DYNLL1,ITGAL,NA
229,OPTN,SUPT6H,RPL36AL,NA,ZFP91,NA,THOC1,WAC-AS1,NA
230,TAP1,CUEDC2,PFDN4,NA,CHML,RPS24,TARS,TAF13,VPS45
231,EFHD2,TERF2,BOP1,NA,JPT2,NA,GARS,PIP4K2A,NA
232,SLC2A3,NBAS,OAF,NA,LINC01184,NA,COG2,POLR3K,NA
233,CIB1,TMBIM1,METTL2B,NA,CDC23,ORC3,S1PR2,IL7R,NUDT8
234,CRELD2,GNGT2,NOM1,NA,FXR1,NA,MRPS15,AL354733.1,NA
235,ELOVL6,ATP6V0D1,MLEC,NA,THOC7,FOXP1,ARGLU1,SSBP3,RAD18
236,OAS1,FBXO32,LGALSL,NA,KIF22,NA,METTL26,HMGN3,NA
237,STAT1,AC005224.2,GET4,NA,TBL1X,MINCR,GLRX5,G0S2,GCAT
238,ISG20,CHSY1,POLD1,NA,NKAPD1,NA,EIF4A1,SLC25A11,NA
239,TSPO,ZCRB1,PELP1,NA,ERCC6L,NA,PSMB3,APOL3,NA
240,ACAP1,HPSE,RUVBL1,NA,NADK2,NA,CST7,UBE2G1,NA
241,CDKN2D,RHBDD2,SLC1A5,NA,ENOPH1,NA,BCCIP,AKT1,NA
242,CNN2,YPEL3,TGDS,NA,TARS2,MYB,DNAJA1,CBL,IKBKG
243,PITPNC1,LUCAT1,ARMC10,NA,LAMTOR3,NA,PSMA1,PIGC,EIF4ENIF1
244,SEPTIN1,AC132192.2,GRPEL1,NA,MTG2,NA,PSMB4,ALKBH6,NA
245,IL2RB,CREBRF,SPATA5L1,NA,SLC9A3-AS1,PPCS,NUDT3,DCTN1,CAMK2D
246,CAPNS1,TAZ,NHS,NA,SRSF12,NA,NA,SNRNP25,NA
247,IFNGR1,CCDC82,TMEM88,NA,COQ4,SSB,MSC-AS1,ZNF273,CHCHD2
248,STK17A,TES,PPP2CA,SNRPN,C9orf43,SLC16A11,AC009093.2,ADA2,C2CD3
249,ADAM8,KLHL12,CARMIL2,NA,ZNF23,CAND1,SF3B3,DGCR8,POLR2K
250,MB21D2,CIAO2A,MAZ,NA,UBE2E3,NA,NUP188,RBKS,CTU2
251,PAG1,CLOCK,RPIA,NA,RAB20,NA,EZH2,TPD52L2,NA
252,CARD16,RANBP9,EIF2B4,NA,GNPDA1,NA,ANKS1B,BAG4,NA
253,TMEM173,SH3YL1,NDC1,NA,AC093627.5,NA,EFTUD2,PPP1R12C,ZCRB1
254,PIM1,GRINA,RPS6KA1,NA,SUZ12,NA,EIF4EBP1,GIHCG,B4GALT6
255,IFITM3,LTBP3,DNAJC1,NA,CHAF1A,NA,SNHG16,CLTC,NA
256,UTRN,NCF1,CHCHD2,NA,ZNF622,NA,MRPS12,KDM4C,NA
257,ARHGDIB,CCAR1,POLR1A,NA,NMD3,NA,EIF2B5,LINC00624,HOXB6
258,SGK1,TAF6L,AC137810.1,NA,FABP5,NA,RNMT,TPM3,NA
259,FERMT3,OR2A1-AS1,SNRPA1,NA,LINC02132,NA,EIF5,PAQR3,IL2RG
260,DNAJC3,MSL3,XPOT,NA,ELAVL1,NA,FAM104A,ARPC4,LAG3
261,EVL,TAFA2,HSPA13,NA,NDUFB2-AS1,NSMCE1,HSF5,WNT7A,SLC25A20
262,MACF1,CFL1,SLC66A2,LINC02100,ASIC3,LAMTOR3,NDFIP2,TFG,YIPF3
263,CISH,DHPS,SLC3A2,NA,AC103691.1,NA,NA,ATRIP,NA
264,SP100,RNF11,RARS,NA,MRPL32,NA,SNRPF,CGAS,NA
265,RSAD2,SCNM1,INTS11,NA,DCTPP1,NA,NA,GON7,NA
266,PARP8,SAP130,AL118516.1,NA,NUTM2A-AS1,SMIM20,RANBP3,STX17,BANF1
